dataset,method,upset_simple_mean,upset_simple_std,upset_naive_mean,upset_naive_std,upset_ratio_mean,upset_ratio_std,runtime_sec_mean,runtime_sec_std
Football_data_England_Premier_League/finerEngland_2014_2015,SpringRank,1.74,0.04,0.44,0.01,0.45,0.0,0.02,0.0
Football_data_England_Premier_League/finerEngland_2014_2015,btl,1.05,0.0,0.26,0.0,0.62,0.0,0.0,0.0
Football_data_England_Premier_League/finerEngland_2014_2015,davidScore,1.23,0.0,0.31,0.0,0.41,0.03,0.0,0.0
Football_data_England_Premier_League/finerEngland_2014_2015,eigenvectorCentrality,1.23,0.0,0.31,0.0,0.39,0.0,0.0,0.0
Football_data_England_Premier_League/finerEngland_2014_2015,rankCentrality,1.12,0.0,0.28,0.0,0.37,0.0,0.0,0.0
Football_data_England_Premier_League/finerEngland_2014_2015,serialRank,1.19,0.04,0.3,0.01,0.35,0.0,0.0,0.0
Football_data_England_Premier_League/finerEngland_2014_2015,syncRank,1.57,0.0,0.39,0.0,0.45,0.0,0.0,0.0
Halo2BetaData/HeadToHead,OURS_MFAS,0.88,0.0,0.22,0.0,0.76,0.0,1.08,0.0
Halo2BetaData/HeadToHead,OURS_MFAS_INS1,0.88,0.0,0.22,0.0,0.76,0.0,1.08,0.0
Halo2BetaData/HeadToHead,OURS_MFAS_INS2,0.88,0.0,0.22,0.0,0.76,0.0,1.08,0.0
Halo2BetaData/HeadToHead,OURS_MFAS_INS3,0.88,0.0,0.22,0.0,0.76,0.0,1.08,0.0
Halo2BetaData/HeadToHead,PageRank,2.0,0.02,0.5,0.0,1.2,0.12,0.06,0.0
Halo2BetaData/HeadToHead,SVD_NRS,0.88,0.0,0.22,0.0,0.76,0.0,1.07,0.0
Halo2BetaData/HeadToHead,SVD_RS,1.43,0.02,0.36,0.0,0.96,0.02,0.01,0.0
Halo2BetaData/HeadToHead,SpringRank,1.94,0.0,0.48,0.0,0.97,0.0,0.97,0.0
Halo2BetaData/HeadToHead,btl,1.16,0.0,0.29,0.0,0.89,0.0,0.01,0.0
Halo2BetaData/HeadToHead,davidScore,1.47,0.0,0.37,0.0,1.0,0.05,0.01,0.0
Halo2BetaData/HeadToHead,eigenvectorCentrality,1.36,0.0,0.34,0.0,0.83,0.0,0.01,0.0
Halo2BetaData/HeadToHead,rankCentrality,1.79,0.0,0.45,0.0,1.14,0.0,0.0,0.0
Halo2BetaData/HeadToHead,serialRank,1.12,0.01,0.28,0.0,0.71,0.01,0.06,0.01
Halo2BetaData/HeadToHead,syncRank,1.92,0.06,0.54,0.02,0.97,0.0,0.06,0.0
finance,DIGRACib,1.531852920022729,0.376307627183278,0.622160182195167,0.2584506542924128,0.2796133767170449,0.0395002317716098,,
finance,PageRank,1.88,0.0,0.47,0.0,0.59,0.0,0.4,0.01
finance,SVD_NRS,1.64,0.0,0.41,0.0,0.26,0.0,0.23,0.01
finance,SVD_RS,1.64,0.0,0.41,0.0,0.26,0.0,0.23,0.01
finance,SpringRank,1.63,0.0,0.41,0.0,0.26,0.0,0.73,0.16
finance,btl,1.63,0.0,0.41,0.0,0.64,0.0,0.21,0.0
finance,davidScore,1.74,0.0,0.44,0.0,0.27,0.0,0.07,0.0
finance,eigenvectorCentrality,1.75,0.0,0.44,0.0,0.26,0.0,0.01,0.0
finance,rankCentrality,1.64,0.0,0.41,0.0,0.26,0.0,0.2,0.01
finance,serialRank,1.78,0.01,0.45,0.0,0.28,0.0,0.25,0.0
finance,syncRank,1.61,0.0,0.4,0.0,0.27,0.0,3.75,0.02
