dataset,method,upset_simple_mean,upset_simple_std,upset_ratio_mean,upset_ratio_std,upset_naive_mean,upset_naive_std,runtime_sec_mean,runtime_sec_std
Football_data_England_Premier_League/England_2011_2012,eigenvectorCentrality,1.02,0.00,0.60,0.00,0.25,0.00,0.00,0.00
Football_data_England_Premier_League/England_2011_2012,PageRank,1.60,0.00,1.17,0.00,0.40,0.00,0.00,0.00
Football_data_England_Premier_League/England_2011_2012,rankCentrality,0.92,0.00,0.59,0.00,0.23,0.00,0.00,0.00
Football_data_England_Premier_League/England_2011_2012,SVD_RS,0.85,0.00,0.58,0.00,0.21,0.00,0.00,0.00
Football_data_England_Premier_League/England_2011_2012,SVD_NRS,0.85,0.00,0.56,0.00,0.21,0.00,0.02,0.00
Football_data_England_Premier_League/England_2011_2012,OURS_MFAS_INS1,0.85,0.00,0.56,0.00,0.21,0.00,0.02,0.00
Football_data_England_Premier_League/England_2011_2012,OURS_MFAS_INS2,0.85,0.00,0.56,0.00,0.21,0.00,0.02,0.00
Football_data_England_Premier_League/England_2011_2012,OURS_MFAS_INS3,0.85,0.00,0.56,0.00,0.21,0.00,0.02,0.00
Football_data_England_Premier_League/England_2011_2012,OURS_MFAS,1.80,0.19,0.56,0.00,0.45,0.05,8.79,8.36
Football_data_England_Premier_League/England_2012_2013,SpringRank,1.50,0.03,0.81,0.00,0.38,0.01,0.02,0.00
Football_data_England_Premier_League/England_2012_2013,syncRank,1.41,0.00,0.83,0.00,0.35,0.00,0.00,0.00
Football_data_England_Premier_League/England_2012_2013,serialRank,0.99,0.05,0.53,0.03,0.25,0.01,0.01,0.01
Football_data_England_Premier_League/England_2012_2013,btl,0.89,0.00,0.60,0.00,0.22,0.00,0.00,0.00
Football_data_England_Premier_League/England_2012_2013,davidScore,0.94,0.00,0.67,0.09,0.24,0.00,0.00,0.00
Football_data_England_Premier_League/England_2012_2013,eigenvectorCentrality,0.99,0.00,0.63,0.00,0.25,0.00,0.00,0.00
Football_data_England_Premier_League/England_2012_2013,PageRank,1.65,0.00,1.18,0.00,0.41,0.00,0.00,0.00
Football_data_England_Premier_League/England_2012_2013,rankCentrality,1.02,0.00,0.58,0.00,0.25,0.00,0.00,0.00
Football_data_England_Premier_League/England_2012_2013,SVD_RS,0.86,0.00,0.58,0.00,0.22,0.00,0.00,0.00
Football_data_England_Premier_League/England_2012_2013,SVD_NRS,0.89,0.00,0.60,0.00,0.22,0.00,0.02,0.00
Football_data_England_Premier_League/England_2012_2013,OURS_MFAS_INS1,0.89,0.00,0.60,0.00,0.22,0.00,0.02,0.00
Football_data_England_Premier_League/England_2012_2013,OURS_MFAS_INS2,0.89,0.00,0.60,0.00,0.22,0.00,0.02,0.00
Football_data_England_Premier_League/England_2012_2013,OURS_MFAS_INS3,0.89,0.00,0.60,0.00,0.22,0.00,0.02,0.00
Football_data_England_Premier_League/England_2012_2013,OURS_MFAS,1.73,0.18,0.60,0.00,0.43,0.04,2.63,3.19
Football_data_England_Premier_League/England_2013_2014,SpringRank,1.64,0.10,0.81,0.00,0.41,0.03,0.02,0.00
Football_data_England_Premier_League/England_2013_2014,syncRank,0.78,0.00,0.73,0.00,0.19,0.00,0.00,0.00
Football_data_England_Premier_League/England_2013_2014,serialRank,0.77,0.05,0.48,0.04,0.19,0.01,0.02,0.01
Football_data_England_Premier_League/England_2013_2014,btl,0.68,0.00,0.59,0.00,0.17,0.00,0.00,0.00
Football_data_England_Premier_League/England_2013_2014,davidScore,0.92,0.00,0.64,0.10,0.23,0.00,0.00,0.00
Football_data_England_Premier_League/England_2013_2014,eigenvectorCentrality,0.87,0.00,0.62,0.00,0.22,0.00,0.00,0.00
Football_data_England_Premier_League/England_2013_2014,PageRank,1.96,0.00,0.94,0.00,0.49,0.00,0.00,0.00
Football_data_England_Premier_League/England_2013_2014,rankCentrality,0.90,0.00,0.56,0.00,0.22,0.00,0.00,0.00
Football_data_England_Premier_League/England_2013_2014,SVD_RS,0.75,0.00,0.53,0.00,0.19,0.00,0.00,0.00
Football_data_England_Premier_League/England_2013_2014,SVD_NRS,0.65,0.00,0.53,0.00,0.16,0.00,0.02,0.00
Football_data_England_Premier_League/England_2013_2014,OURS_MFAS_INS1,0.65,0.00,0.53,0.00,0.16,0.00,0.02,0.00
Football_data_England_Premier_League/England_2013_2014,OURS_MFAS_INS2,0.65,0.00,0.53,0.00,0.16,0.00,0.02,0.00
Football_data_England_Premier_League/England_2013_2014,OURS_MFAS_INS3,0.65,0.00,0.53,0.00,0.16,0.00,0.02,0.00
Football_data_England_Premier_League/England_2013_2014,OURS_MFAS,1.59,0.11,0.53,0.00,0.40,0.03,6.25,5.46
Football_data_England_Premier_League/England_2014_2015,SpringRank,1.81,0.18,0.95,0.01,0.45,0.05,0.02,0.00
Football_data_England_Premier_League/England_2014_2015,syncRank,1.57,0.00,0.97,0.01,0.39,0.00,0.00,0.00
Football_data_England_Premier_League/England_2014_2015,serialRank,1.16,0.01,0.74,0.01,0.29,0.00,0.03,0.01
Football_data_England_Premier_League/England_2014_2015,btl,1.09,0.00,0.98,0.00,0.28,0.00,0.00,0.00
Football_data_England_Premier_League/England_2014_2015,davidScore,1.27,0.00,0.83,0.07,0.32,0.00,0.00,0.00
Football_data_England_Premier_League/England_2014_2015,eigenvectorCentrality,1.20,0.00,0.81,0.00,0.30,0.00,0.00,0.00
Football_data_England_Premier_League/England_2014_2015,PageRank,1.79,0.00,1.49,0.00,0.45,0.00,0.00,0.00
Football_data_England_Premier_League/England_2014_2015,rankCentrality,1.12,0.00,0.84,0.00,0.28,0.00,0.00,0.00
Football_data_England_Premier_League/England_2014_2015,SVD_RS,1.08,0.00,0.82,0.00,0.27,0.00,0.00,0.00
Football_data_England_Premier_League/England_2014_2015,SVD_NRS,0.93,0.00,0.75,0.00,0.23,0.00,0.01,0.00
Football_data_England_Premier_League/England_2014_2015,OURS_MFAS_INS1,0.93,0.00,0.75,0.00,0.23,0.00,0.01,0.00
Football_data_England_Premier_League/England_2014_2015,OURS_MFAS_INS2,0.93,0.00,0.75,0.00,0.23,0.00,0.01,0.00
Football_data_England_Premier_League/England_2014_2015,OURS_MFAS_INS3,0.93,0.00,0.75,0.00,0.23,0.00,0.01,0.00
Football_data_England_Premier_League/England_2014_2015,OURS_MFAS,1.72,0.20,0.75,0.00,0.43,0.05,0.80,0.08
Football_data_England_Premier_League/finerEngland_2009_2010,SpringRank,1.78,0.00,0.27,0.00,0.45,0.00,0.02,0.00
Football_data_England_Premier_League/finerEngland_2009_2010,syncRank,0.93,0.00,0.23,0.00,0.23,0.00,0.00,0.00
Football_data_England_Premier_League/finerEngland_2009_2010,serialRank,0.79,0.10,0.17,0.01,0.20,0.03,0.00,0.00
Football_data_England_Premier_League/finerEngland_2009_2010,btl,0.71,0.00,0.38,0.00,0.18,0.00,0.00,0.00
Football_data_England_Premier_League/finerEngland_2009_2010,davidScore,1.05,0.00,0.23,0.03,0.26,0.00,0.00,0.00
Football_data_England_Premier_League/finerEngland_2009_2010,eigenvectorCentrality,1.10,0.00,0.22,0.00,0.27,0.00,0.00,0.00
Football_data_England_Premier_League/finerEngland_2009_2010,PageRank,1.88,0.02,0.70,0.07,0.47,0.01,0.00,0.00
Football_data_England_Premier_League/finerEngland_2009_2010,rankCentrality,0.80,0.00,0.21,0.00,0.20,0.00,0.00,0.00
Football_data_England_Premier_League/finerEngland_2009_2010,SVD_RS,0.66,0.00,0.21,0.00,0.16,0.00,0.00,0.00
Football_data_England_Premier_League/finerEngland_2009_2010,SVD_NRS,0.88,0.00,0.17,0.00,0.22,0.00,0.03,0.00
Football_data_England_Premier_League/finerEngland_2009_2010,OURS_MFAS_INS1,0.88,0.00,0.17,0.00,0.22,0.00,0.04,0.00
Football_data_England_Premier_League/finerEngland_2009_2010,OURS_MFAS_INS2,0.88,0.00,0.17,0.00,0.22,0.00,0.04,0.00
Football_data_England_Premier_League/finerEngland_2009_2010,OURS_MFAS_INS3,0.88,0.00,0.17,0.00,0.22,0.00,0.04,0.00
Football_data_England_Premier_League/finerEngland_2009_2010,OURS_MFAS,2.02,0.30,0.17,0.00,0.50,0.08,4.70,4.64
Football_data_England_Premier_League/finerEngland_2010_2011,SpringRank,1.63,0.02,0.23,0.00,0.41,0.01,0.02,0.00
Football_data_England_Premier_League/finerEngland_2010_2011,syncRank,1.44,0.00,0.21,0.00,0.36,0.00,0.00,0.00
Football_data_England_Premier_League/finerEngland_2010_2011,serialRank,1.31,0.09,0.18,0.01,0.33,0.02,0.00,0.00
Football_data_England_Premier_League/finerEngland_2010_2011,btl,1.29,0.00,0.56,0.00,0.32,0.00,0.00,0.00
Football_data_England_Premier_League/finerEngland_2010_2011,davidScore,1.37,0.00,0.22,0.01,0.34,0.00,0.00,0.00
Football_data_England_Premier_League/finerEngland_2010_2011,eigenvectorCentrality,1.49,0.00,0.22,0.00,0.37,0.00,0.00,0.00
Football_data_England_Premier_League/finerEngland_2010_2011,PageRank,1.91,0.17,0.67,0.00,0.52,0.08,0.00,0.01
Football_data_England_Premier_League/finerEngland_2010_2011,rankCentrality,1.24,0.00,0.24,0.00,0.31,0.00,0.00,0.00
Football_data_England_Premier_League/finerEngland_2010_2011,SVD_RS,1.17,0.00,0.22,0.00,0.29,0.00,0.00,0.00
Football_data_England_Premier_League/finerEngland_2010_2011,SVD_NRS,1.14,0.00,0.20,0.00,0.29,0.00,0.03,0.00
Football_data_England_Premier_League/finerEngland_2010_2011,OURS_MFAS_INS1,1.14,0.00,0.20,0.00,0.29,0.00,0.03,0.00
Football_data_England_Premier_League/finerEngland_2010_2011,OURS_MFAS_INS2,1.14,0.00,0.20,0.00,0.29,0.00,0.03,0.00
Football_data_England_Premier_League/finerEngland_2010_2011,OURS_MFAS_INS3,1.14,0.00,0.20,0.00,0.29,0.00,0.03,0.00
Football_data_England_Premier_League/finerEngland_2010_2011,OURS_MFAS,2.11,0.01,0.20,0.00,0.53,0.00,9.13,6.58
Football_data_England_Premier_League/finerEngland_2011_2012,SpringRank,1.59,0.04,0.25,0.00,0.40,0.01,0.02,0.00
Football_data_England_Premier_League/finerEngland_2011_2012,syncRank,1.07,0.00,0.23,0.00,0.27,0.00,0.00,0.00
Football_data_England_Premier_League/finerEngland_2011_2012,serialRank,0.93,0.04,0.17,0.00,0.23,0.01,0.00,0.00
Football_data_England_Premier_League/finerEngland_2011_2012,btl,0.92,0.00,0.49,0.00,0.23,0.00,0.00,0.00
Football_data_England_Premier_League/finerEngland_2011_2012,davidScore,1.02,0.00,0.22,0.02,0.25,0.00,0.00,0.00
Football_data_England_Premier_League/finerEngland_2011_2012,eigenvectorCentrality,1.14,0.00,0.21,0.00,0.28,0.00,0.00,0.00
Football_data_England_Premier_League/finerEngland_2011_2012,PageRank,1.81,0.18,0.58,0.00,0.50,0.09,0.00,0.00
Football_data_England_Premier_League/finerEngland_2011_2012,rankCentrality,0.92,0.00,0.22,0.00,0.23,0.00,0.00,0.00
Football_data_England_Premier_League/finerEngland_2011_2012,SVD_RS,0.85,0.00,0.22,0.00,0.21,0.00,0.00,0.00
Football_data_England_Premier_League/finerEngland_2011_2012,SVD_NRS,0.97,0.00,0.21,0.00,0.24,0.00,0.04,0.00
Football_data_England_Premier_League/finerEngland_2011_2012,OURS_MFAS_INS1,0.97,0.00,0.21,0.00,0.24,0.00,0.04,0.00
Football_data_England_Premier_League/finerEngland_2011_2012,OURS_MFAS_INS2,0.97,0.00,0.21,0.00,0.24,0.00,0.04,0.00
Football_data_England_Premier_League/finerEngland_2011_2012,OURS_MFAS_INS3,0.97,0.00,0.21,0.00,0.24,0.00,0.04,0.00
Football_data_England_Premier_League/finerEngland_2011_2012,OURS_MFAS,2.11,0.06,0.21,0.00,0.53,0.01,14.98,6.16
Football_data_England_Premier_League/finerEngland_2012_2013,SpringRank,1.76,0.18,0.23,0.04,0.44,0.04,0.02,0.00
Football_data_England_Premier_League/finerEngland_2012_2013,syncRank,1.10,0.00,0.22,0.01,0.27,0.00,0.00,0.00
Football_data_England_Premier_League/finerEngland_2012_2013,serialRank,0.99,0.05,0.16,0.00,0.25,0.01,0.00,0.00
Football_data_England_Premier_League/finerEngland_2012_2013,btl,0.92,0.00,0.48,0.00,0.23,0.00,0.00,0.00
Football_data_England_Premier_League/finerEngland_2012_2013,davidScore,1.10,0.00,0.19,0.02,0.27,0.00,0.00,0.00
Football_data_England_Premier_League/finerEngland_2012_2013,eigenvectorCentrality,1.20,0.00,0.19,0.00,0.30,0.00,0.00,0.00
Football_data_England_Premier_League/finerEngland_2012_2013,PageRank,1.98,0.06,0.66,0.06,0.49,0.02,0.00,0.00
Football_data_England_Premier_League/finerEngland_2012_2013,rankCentrality,1.02,0.00,0.18,0.00,0.25,0.00,0.00,0.00
Football_data_England_Premier_League/finerEngland_2012_2013,SVD_RS,0.86,0.00,0.17,0.00,0.22,0.00,0.00,0.00
Football_data_England_Premier_League/finerEngland_2012_2013,SVD_NRS,1.12,0.00,0.18,0.00,0.28,0.00,0.04,0.00
Football_data_England_Premier_League/finerEngland_2012_2013,OURS_MFAS_INS1,1.12,0.00,0.18,0.00,0.28,0.00,0.04,0.00
Football_data_England_Premier_League/finerEngland_2012_2013,OURS_MFAS_INS2,1.12,0.00,0.18,0.00,0.28,0.00,0.04,0.00
Football_data_England_Premier_League/finerEngland_2012_2013,OURS_MFAS_INS3,1.12,0.00,0.18,0.00,0.28,0.00,0.04,0.00
Football_data_England_Premier_League/finerEngland_2012_2013,OURS_MFAS,2.14,0.00,0.18,0.00,0.54,0.00,13.84,12.18
Football_data_England_Premier_League/finerEngland_2013_2014,SpringRank,1.57,0.01,0.30,0.00,0.39,0.00,0.02,0.00
Football_data_England_Premier_League/finerEngland_2013_2014,syncRank,0.87,0.00,0.29,0.01,0.22,0.00,0.00,0.00
Football_data_England_Premier_League/finerEngland_2013_2014,serialRank,0.85,0.06,0.21,0.01,0.21,0.02,0.00,0.00
Football_data_England_Premier_League/finerEngland_2013_2014,btl,0.73,0.00,0.43,0.00,0.18,0.00,0.00,0.00
Football_data_England_Premier_League/finerEngland_2013_2014,davidScore,0.99,0.00,0.27,0.03,0.25,0.00,0.00,0.00
Football_data_England_Premier_League/finerEngland_2013_2014,eigenvectorCentrality,1.07,0.00,0.26,0.00,0.27,0.00,0.00,0.00
Football_data_England_Premier_League/finerEngland_2013_2014,PageRank,1.91,0.31,0.52,0.00,0.52,0.05,0.00,0.00
Football_data_England_Premier_League/finerEngland_2013_2014,rankCentrality,0.90,0.00,0.24,0.00,0.22,0.00,0.00,0.00
Football_data_England_Premier_League/finerEngland_2013_2014,SVD_RS,0.75,0.00,0.22,0.00,0.19,0.00,0.00,0.00
Football_data_England_Premier_League/finerEngland_2013_2014,SVD_NRS,0.92,0.00,0.23,0.00,0.23,0.00,0.03,0.00
Football_data_England_Premier_League/finerEngland_2013_2014,OURS_MFAS_INS1,0.92,0.00,0.23,0.00,0.23,0.00,0.03,0.00
Football_data_England_Premier_League/finerEngland_2013_2014,OURS_MFAS_INS2,0.92,0.00,0.23,0.00,0.23,0.00,0.03,0.00
Football_data_England_Premier_League/finerEngland_2013_2014,OURS_MFAS_INS3,0.92,0.00,0.23,0.00,0.23,0.00,0.03,0.00
Football_data_England_Premier_League/finerEngland_2013_2014,OURS_MFAS,1.94,0.14,0.23,0.00,0.49,0.04,7.38,6.09
Football_data_England_Premier_League/finerEngland_2014_2015,SpringRank,1.74,0.04,0.45,0.00,0.44,0.01,0.02,0.00
Football_data_England_Premier_League/finerEngland_2014_2015,syncRank,1.57,0.00,0.45,0.00,0.39,0.00,0.00,0.00
Football_data_England_Premier_League/finerEngland_2014_2015,serialRank,1.19,0.04,0.35,0.00,0.30,0.01,0.00,0.00
Football_data_England_Premier_League/finerEngland_2014_2015,btl,1.05,0.00,0.62,0.00,0.26,0.00,0.00,0.00
Football_data_England_Premier_League/finerEngland_2014_2015,davidScore,1.23,0.00,0.41,0.03,0.31,0.00,0.00,0.00
Football_data_England_Premier_League/finerEngland_2014_2015,eigenvectorCentrality,1.23,0.00,0.39,0.00,0.31,0.00,0.00,0.00
Football_data_England_Premier_League/finerEngland_2014_2015,PageRank,1.68,0.00,0.98,0.00,0.42,0.00,0.00,0.00
Football_data_England_Premier_League/finerEngland_2014_2015,rankCentrality,1.12,0.00,0.37,0.00,0.28,0.00,0.00,0.00
Football_data_England_Premier_League/finerEngland_2014_2015,SVD_RS,1.08,0.00,0.37,0.00,0.27,0.00,0.00,0.00
Football_data_England_Premier_League/finerEngland_2014_2015,SVD_NRS,1.08,0.00,0.36,0.00,0.27,0.00,0.03,0.00
Football_data_England_Premier_League/finerEngland_2014_2015,OURS_MFAS_INS1,1.08,0.00,0.36,0.00,0.27,0.00,0.03,0.00
Football_data_England_Premier_League/finerEngland_2014_2015,OURS_MFAS_INS2,1.08,0.00,0.36,0.00,0.27,0.00,0.03,0.00
Football_data_England_Premier_League/finerEngland_2014_2015,OURS_MFAS_INS3,1.08,0.00,0.36,0.00,0.27,0.00,0.03,0.00
Football_data_England_Premier_League/finerEngland_2014_2015,OURS_MFAS,1.08,0.00,0.36,0.00,0.27,0.00,0.03,0.00
